id,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
38,2023-04-16,,Serie A,Matchweek 30,Sun,Home,,,,Hellas Verona,,,,,,,,Head-to-Head,,,,,,,,2023,Napoli
39,2023-04-23,,Serie A,Matchweek 31,Sun,Away,,,,Juventus,,,,,,,,Head-to-Head,,,,,,,,2023,Napoli
40,2023-04-30,,Serie A,Matchweek 32,Sun,Home,,,,Salernitana,,,,,,,,Head-to-Head,,,,,,,,2023,Napoli
41,2023-05-03,,Serie A,Matchweek 33,Wed,Away,,,,Udinese,,,,,,,,Head-to-Head,,,,,,,,2023,Napoli
42,2023-05-07,,Serie A,Matchweek 34,Sun,Home,,,,Fiorentina,,,,,,,,Head-to-Head,,,,,,,,2023,Napoli
43,2023-05-14,,Serie A,Matchweek 35,Sun,Away,,,,Monza,,,,,,,,Head-to-Head,,,,,,,,2023,Napoli
44,2023-05-21,,Serie A,Matchweek 36,Sun,Home,,,,Inter,,,,,,,,Head-to-Head,,,,,,,,2023,Napoli
45,2023-05-28,,Serie A,Matchweek 37,Sun,Away,,,,Bologna,,,,,,,,Head-to-Head,,,,,,,,2023,Napoli
46,2023-06-04,,Serie A,Matchweek 38,Sun,Home,,,,Sampdoria,,,,,,,,Head-to-Head,,,,,,,,2023,Napoli
0,2022-08-13,20:45,Serie A,Matchweek 1,Sat,Away,W,2.0,1.0,Lecce,2.1,0.7,70.0,25353.0,Samir Handanović,3-5-2,Alessandro Prontera,Match Report,,19.0,9.0,17.6,0.0,0.0,0.0,2023,Internazionale
1,2022-08-20,20:45,Serie A,Matchweek 2,Sat,Home,W,3.0,0.0,Spezia,2.1,0.5,54.0,71212.0,Samir Handanović,3-5-2,Davide Ghersini,Match Report,,19.0,8.0,14.6,0.0,0.0,0.0,2023,Internazionale
2,2022-08-26,20:45,Serie A,Matchweek 3,Fri,Away,L,1.0,3.0,Lazio,1.5,1.1,52.0,52500.0,Samir Handanović,3-5-2,Michael Fabbri,Match Report,,19.0,7.0,16.3,0.0,0.0,0.0,2023,Internazionale
3,2022-08-30,20:45,Serie A,Matchweek 4,Tue,Home,W,3.0,1.0,Cremonese,2.2,1.2,53.0,70750.0,Samir Handanović,3-5-2,Francesco Fourneau,Match Report,,18.0,7.0,15.4,1.0,0.0,0.0,2023,Internazionale
4,2022-09-03,18:00,Serie A,Matchweek 5,Sat,Away,L,2.0,3.0,Milan,1.8,1.3,53.0,75475.0,Samir Handanović,3-5-2,Daniele Chiffi,Match Report,,16.0,5.0,20.3,1.0,0.0,0.0,2023,Internazionale
6,2022-09-10,18:00,Serie A,Matchweek 6,Sat,Home,W,1.0,0.0,Torino,1.5,0.7,57.0,69134.0,Samir Handanović,3-5-2,Giovanni Ayroldi,Match Report,,16.0,3.0,19.5,1.0,0.0,0.0,2023,Internazionale
8,2022-09-18,12:30,Serie A,Matchweek 7,Sun,Away,L,1.0,3.0,Udinese,1.1,1.6,56.0,22475.0,Samir Handanović,3-5-2,Paolo Valeri,Match Report,,16.0,4.0,18.8,2.0,0.0,0.0,2023,Internazionale
9,2022-10-01,18:00,Serie A,Matchweek 8,Sat,Home,L,1.0,2.0,Roma,1.0,1.0,58.0,75389.0,Samir Handanović,3-5-2,Davide Massa,Match Report,,15.0,2.0,21.5,2.0,0.0,0.0,2023,Internazionale
11,2022-10-08,15:00,Serie A,Matchweek 9,Sat,Away,W,2.0,1.0,Sassuolo,2.3,1.2,48.0,17574.0,Danilo D'Ambrosio,3-5-2,Simone Sozza,Match Report,,16.0,4.0,15.9,1.0,0.0,0.0,2023,Internazionale
13,2022-10-16,12:30,Serie A,Matchweek 10,Sun,Home,W,2.0,0.0,Salernitana,1.7,0.4,61.0,75452.0,Milan Škriniar,3-5-2,Juan Sacchi,Match Report,,16.0,6.0,14.4,1.0,0.0,0.0,2023,Internazionale
14,2022-10-22,20:45,Serie A,Matchweek 11,Sat,Away,W,4.0,3.0,Fiorentina,2.4,1.3,42.0,36699.0,Milan Škriniar,3-5-2,Paolo Valeri,Match Report,,7.0,6.0,14.3,0.0,1.0,1.0,2023,Internazionale
16,2022-10-29,20:45,Serie A,Matchweek 12,Sat,Home,W,3.0,0.0,Sampdoria,2.0,0.5,51.0,73311.0,Milan Škriniar,3-5-2,Luca Massimi,Match Report,,17.0,8.0,14.4,1.0,0.0,0.0,2023,Internazionale
18,2022-11-06,20:45,Serie A,Matchweek 13,Sun,Away,L,0.0,2.0,Juventus,1.2,0.9,53.0,40093.0,Milan Škriniar,3-5-2,Daniele Doveri,Match Report,,14.0,4.0,18.0,0.0,0.0,0.0,2023,Internazionale
19,2022-11-09,20:45,Serie A,Matchweek 14,Wed,Home,W,6.0,1.0,Bologna,2.6,0.7,57.0,69312.0,Milan Škriniar,3-5-2,Andrea Colombo,Match Report,,12.0,6.0,14.6,1.0,1.0,1.0,2023,Internazionale
20,2022-11-13,12:30,Serie A,Matchweek 15,Sun,Away,W,3.0,2.0,Atalanta,2.2,1.8,53.0,19353.0,Milan Škriniar,3-5-2,Daniele Chiffi,Match Report,,14.0,3.0,15.8,1.0,0.0,0.0,2023,Internazionale
21,2023-01-04,20:45,Serie A,Matchweek 16,Wed,Home,W,1.0,0.0,Napoli,1.4,0.9,36.0,75470.0,Milan Škriniar,3-5-2,Simone Sozza,Match Report,,6.0,1.0,11.8,0.0,0.0,0.0,2023,Internazionale
22,2023-01-07,20:45,Serie A,Matchweek 17,Sat,Away,D,2.0,2.0,Monza,1.7,1.5,46.0,13622.0,Milan Škriniar,3-5-2,Juan Sacchi,Match Report,,11.0,3.0,13.9,0.0,0.0,0.0,2023,Internazionale
24,2023-01-14,20:45,Serie A,Matchweek 18,Sat,Home,W,1.0,0.0,Hellas Verona,0.7,0.3,57.0,70734.0,Milan Škriniar,3-5-2,Michael Fabbri,Match Report,,11.0,3.0,19.0,0.0,0.0,0.0,2023,Internazionale
26,2023-01-23,20:45,Serie A,Matchweek 19,Mon,Home,L,0.0,1.0,Empoli,1.4,0.8,49.0,,Milan Škriniar,3-5-2,Antonio Rapuano,Match Report,,16.0,1.0,15.0,1.0,0.0,0.0,2023,Internazionale
27,2023-01-28,18:00,Serie A,Matchweek 20,Sat,Away,W,2.0,1.0,Cremonese,2.3,1.0,65.0,,Lautaro Martínez,3-5-2,Maurizio Mariani,Match Report,,30.0,10.0,15.4,0.0,0.0,0.0,2023,Internazionale
29,2023-02-05,20:45,Serie A,Matchweek 21,Sun,Home,W,1.0,0.0,Milan,0.9,0.3,64.0,,Lautaro Martínez,3-5-2,Davide Massa,Match Report,,15.0,4.0,18.5,0.0,0.0,0.0,2023,Internazionale
30,2023-02-13,20:45,Serie A,Matchweek 22,Mon,Away,D,0.0,0.0,Sampdoria,1.8,0.5,65.0,,Lautaro Martínez,3-5-2,Fabio Maresca,Match Report,,25.0,5.0,18.0,1.0,0.0,0.0,2023,Internazionale
31,2023-02-18,20:45,Serie A,Matchweek 23,Sat,Home,W,3.0,1.0,Udinese,2.7,0.8,59.0,,Samir Handanović,3-5-2,Federico Dionisi,Match Report,,18.0,6.0,17.9,0.0,1.0,1.0,2023,Internazionale
33,2023-02-26,12:30,Serie A,Matchweek 24,Sun,Away,L,0.0,1.0,Bologna,1.0,1.3,52.0,,Marcelo Brozović,3-1-4-2,Daniele Orsato,Match Report,,13.0,4.0,19.0,0.0,0.0,0.0,2023,Internazionale
34,2023-03-05,18:00,Serie A,Matchweek 25,Sun,Home,W,2.0,0.0,Lecce,0.8,0.6,62.0,,Lautaro Martínez,3-5-2,Gianluca Manganiello,Match Report,,14.0,4.0,17.9,1.0,0.0,0.0,2023,Internazionale
35,2023-03-10,20:45,Serie A,Matchweek 26,Fri,Away,L,1.0,2.0,Spezia,,,69.0,,Samir Handanović,3-5-2,Livio Marinelli,Match Report,,28.0,8.0,,,1.0,2.0,2023,Internazionale
37,2023-03-19,20:45,Serie A,Matchweek 27,Sun,Home,,,,Juventus,,,,,,,,Head-to-Head,,,,,,,,2023,Internazionale
38,2023-04-01,18:00,Serie A,Matchweek 28,Sat,Home,,,,Fiorentina,,,,,,,,Head-to-Head,,,,,,,,2023,Internazionale
40,2023-04-08,14:30,Serie A,Matchweek 29,Sat,Away,,,,Salernitana,,,,,,,,Head-to-Head,,,,,,,,2023,Internazionale
41,2023-04-16,,Serie A,Matchweek 30,Sun,Home,,,,Monza,,,,,,,,Head-to-Head,,,,,,,,2023,Internazionale
42,2023-04-23,,Serie A,Matchweek 31,Sun,Away,,,,Empoli,,,,,,,,Head-to-Head,,,,,,,,2023,Internazionale
44,2023-04-30,,Serie A,Matchweek 32,Sun,Home,,,,Lazio,,,,,,,,Head-to-Head,,,,,,,,2023,Internazionale
45,2023-05-03,,Serie A,Matchweek 33,Wed,Away,,,,Hellas Verona,,,,,,,,Head-to-Head,,,,,,,,2023,Internazionale
46,2023-05-07,,Serie A,Matchweek 34,Sun,Away,,,,Roma,,,,,,,,Head-to-Head,,,,,,,,2023,Internazionale
47,2023-05-14,,Serie A,Matchweek 35,Sun,Home,,,,Sassuolo,,,,,,,,Head-to-Head,,,,,,,,2023,Internazionale
48,2023-05-21,,Serie A,Matchweek 36,Sun,Away,,,,Napoli,,,,,,,,Head-to-Head,,,,,,,,2023,Internazionale
49,2023-05-28,,Serie A,Matchweek 37,Sun,Home,,,,Atalanta,,,,,,,,Head-to-Head,,,,,,,,2023,Internazionale
50,2023-06-04,,Serie A,Matchweek 38,Sun,Away,,,,Torino,,,,,,,,Head-to-Head,,,,,,,,2023,Internazionale
0,2022-08-14,18:30,Serie A,Matchweek 1,Sun,Home,W,2.0,1.0,Bologna,0.7,1.5,42.0,45000.0,Ciro Immobile,4-3-3,Luca Massimi,Match Report,,9.0,6.0,19.7,0.0,0.0,0.0,2023,Lazio
1,2022-08-20,18:30,Serie A,Matchweek 2,Sat,Away,D,0.0,0.0,Torino,0.8,0.7,46.0,16530.0,Ciro Immobile,4-3-3,Marco Piccinini,Match Report,,7.0,2.0,16.5,0.0,0.0,0.0,2023,Lazio
2,2022-08-26,20:45,Serie A,Matchweek 3,Fri,Home,W,3.0,1.0,Inter,1.1,1.5,48.0,52500.0,Ciro Immobile,4-3-3,Michael Fabbri,Match Report,,11.0,7.0,14.5,0.0,0.0,0.0,2023,Lazio
3,2022-08-31,18:30,Serie A,Matchweek 4,Wed,Away,D,1.0,1.0,Sampdoria,1.5,0.8,56.0,18499.0,Ciro Immobile,4-3-3,Gianluca Aureliano,Match Report,,13.0,6.0,18.4,0.0,0.0,0.0,2023,Lazio
4,2022-09-03,20:45,Serie A,Matchweek 5,Sat,Home,L,1.0,2.0,Napoli,0.3,2.1,39.0,39000.0,Ciro Immobile,4-3-3,Simone Sozza,Match Report,,8.0,2.0,26.7,0.0,0.0,0.0,2023,Lazio
6,2022-09-11,18:00,Serie A,Matchweek 6,Sun,Home,W,2.0,0.0,Hellas Verona,1.1,0.3,59.0,38000.0,Ciro Immobile,4-3-3,Massimiliano Irrati,Match Report,,15.0,6.0,15.9,0.0,0.0,0.0,2023,Lazio
8,2022-09-18,15:00,Serie A,Matchweek 7,Sun,Away,W,4.0,0.0,Cremonese,3.1,1.3,55.0,12991.0,Ciro Immobile,4-3-3,Daniele Orsato,Match Report,,13.0,5.0,13.4,0.0,1.0,1.0,2023,Lazio
9,2022-10-02,12:30,Serie A,Matchweek 8,Sun,Home,W,4.0,0.0,Spezia,2.3,1.1,61.0,41000.0,Ciro Immobile,4-3-3,Juan Sacchi,Match Report,,12.0,6.0,13.8,0.0,0.0,1.0,2023,Lazio
11,2022-10-10,20:45,Serie A,Matchweek 9,Mon,Away,W,4.0,0.0,Fiorentina,1.6,2.2,38.0,30574.0,Ciro Immobile,4-3-3,Fabio Maresca,Match Report,,10.0,6.0,15.6,0.0,0.0,0.0,2023,Lazio
13,2022-10-16,15:00,Serie A,Matchweek 10,Sun,Home,D,0.0,0.0,Udinese,0.8,0.9,54.0,45000.0,Ciro Immobile,4-3-3,Andrea Colombo,Match Report,,8.0,3.0,16.2,1.0,0.0,0.0,2023,Lazio
14,2022-10-23,18:00,Serie A,Matchweek 11,Sun,Away,W,2.0,0.0,Atalanta,0.9,0.8,53.0,18988.0,Sergej Milinković-Savić,4-3-3,Rosario Abisso,Match Report,,12.0,5.0,23.0,0.0,0.0,0.0,2023,Lazio
16,2022-10-30,18:00,Serie A,Matchweek 12,Sun,Home,L,1.0,3.0,Salernitana,1.9,1.5,61.0,40000.0,Danilo Cataldi,4-4-2,Gianluca Manganiello,Match Report,,13.0,4.0,15.3,0.0,0.0,0.0,2023,Lazio
18,2022-11-06,18:00,Serie A,Matchweek 13,Sun,Away,W,1.0,0.0,Roma,0.6,0.5,41.0,62847.0,Danilo Cataldi,4-3-3,Daniele Orsato,Match Report,,5.0,3.0,23.0,0.0,0.0,0.0,2023,Lazio
19,2022-11-10,20:45,Serie A,Matchweek 14,Thu,Home,W,1.0,0.0,Monza,1.5,0.5,47.0,36000.0,Sergej Milinković-Savić,4-3-3,Alberto Santoro,Match Report,,12.0,4.0,16.5,1.0,0.0,0.0,2023,Lazio
20,2022-11-13,20:45,Serie A,Matchweek 15,Sun,Away,L,0.0,3.0,Juventus,0.4,1.6,59.0,38729.0,Sergej Milinković-Savić,4-3-3,Davide Massa,Match Report,,10.0,3.0,21.9,0.0,0.0,0.0,2023,Lazio
21,2023-01-04,16:30,Serie A,Matchweek 16,Wed,Away,L,1.0,2.0,Lecce,0.7,1.3,59.0,26084.0,Ciro Immobile,4-3-3,Livio Marinelli,Match Report,,8.0,2.0,15.1,0.0,0.0,0.0,2023,Lazio
22,2023-01-08,15:00,Serie A,Matchweek 17,Sun,Home,D,2.0,2.0,Empoli,0.9,0.6,54.0,31000.0,Ciro Immobile,4-3-3,Ivan Pezzuto,Match Report,,18.0,4.0,19.7,0.0,0.0,0.0,2023,Lazio
23,2023-01-15,12:30,Serie A,Matchweek 18,Sun,Away,W,2.0,0.0,Sassuolo,2.7,0.7,50.0,10000.0,Ciro Immobile,4-1-4-1,Luca Pairetto,Match Report,,11.0,2.0,16.9,1.0,1.0,1.0,2023,Lazio
25,2023-01-24,20:45,Serie A,Matchweek 19,Tue,Home,W,4.0,0.0,Milan,3.1,0.7,50.0,,Sergej Milinković-Savić,4-3-3,Marco Di Bello,Match Report,,9.0,4.0,16.9,1.0,1.0,1.0,2023,Lazio
26,2023-01-29,18:00,Serie A,Matchweek 20,Sun,Home,D,1.0,1.0,Fiorentina,0.9,1.3,45.0,,Sergej Milinković-Savić,4-3-3,Andrea Colombo,Match Report,,13.0,1.0,16.6,1.0,0.0,0.0,2023,Lazio
28,2023-02-06,18:30,Serie A,Matchweek 21,Mon,Away,D,1.0,1.0,Hellas Verona,0.8,1.3,63.0,,Ciro Immobile,4-3-3,Giovanni Ayroldi,Match Report,,9.0,2.0,19.9,1.0,0.0,0.0,2023,Lazio
29,2023-02-11,20:45,Serie A,Matchweek 22,Sat,Home,L,0.0,2.0,Atalanta,0.9,3.0,59.0,,Ciro Immobile,4-3-3,Daniele Orsato,Match Report,,13.0,5.0,23.7,1.0,0.0,0.0,2023,Lazio
31,2023-02-19,15:00,Serie A,Matchweek 23,Sun,Away,W,2.0,0.0,Salernitana,3.1,0.4,65.0,,Ciro Immobile,4-3-3,Rosario Abisso,Match Report,,19.0,5.0,20.1,0.0,1.0,2.0,2023,Lazio
33,2023-02-27,20:45,Serie A,Matchweek 24,Mon,Home,W,1.0,0.0,Sampdoria,1.5,0.4,57.0,,Ciro Immobile,4-3-3,Andrea Colombo,Match Report,,15.0,4.0,15.2,1.0,0.0,0.0,2023,Lazio
34,2023-03-03,20:45,Serie A,Matchweek 25,Fri,Away,W,1.0,0.0,Napoli,0.2,0.8,36.0,,Ciro Immobile,4-3-3,Luca Pairetto,Match Report,,5.0,1.0,21.3,1.0,0.0,0.0,2023,Lazio
36,2023-03-11,20:45,Serie A,Matchweek 26,Sat,Away,,,,Bologna,,,,,,,,Head-to-Head,,,,,,,,2023,Lazio
38,2023-03-19,18:00,Serie A,Matchweek 27,Sun,Home,,,,Roma,,,,,,,,Head-to-Head,,,,,,,,2023,Lazio
39,2023-04-02,15:00,Serie A,Matchweek 28,Sun,Away,,,,Monza,,,,,,,,Head-to-Head,,,,,,,,2023,Lazio
40,2023-04-08,20:45,Serie A,Matchweek 29,Sat,Home,,,,Juventus,,,,,,,,Head-to-Head,,,,,,,,2023,Lazio
41,2023-04-16,,Serie A,Matchweek 30,Sun,Away,,,,Spezia,,,,,,,,Head-to-Head,,,,,,,,2023,Lazio
42,2023-04-23,,Serie A,Matchweek 31,Sun,Home,,,,Torino,,,,,,,,Head-to-Head,,,,,,,,2023,Lazio
43,2023-04-30,,Serie A,Matchweek 32,Sun,Away,,,,Inter,,,,,,,,Head-to-Head,,,,,,,,2023,Lazio
44,2023-05-03,,Serie A,Matchweek 33,Wed,Home,,,,Sassuolo,,,,,,,,Head-to-Head,,,,,,,,2023,Lazio
45,2023-05-07,,Serie A,Matchweek 34,Sun,Away,,,,Milan,,,,,,,,Head-to-Head,,,,,,,,2023,Lazio
46,2023-05-14,,Serie A,Matchweek 35,Sun,Home,,,,Lecce,,,,,,,,Head-to-Head,,,,,,,,2023,Lazio
47,2023-05-21,,Serie A,Matchweek 36,Sun,Away,,,,Udinese,,,,,,,,Head-to-Head,,,,,,,,2023,Lazio
48,2023-05-28,,Serie A,Matchweek 37,Sun,Home,,,,Cremonese,,,,,,,,Head-to-Head,,,,,,,,2023,Lazio
49,2023-06-04,,Serie A,Matchweek 38,Sun,Away,,,,Empoli,,,,,,,,Head-to-Head,,,,,,,,2023,Lazio
0,2022-08-14,20:45,Serie A,Matchweek 1,Sun,Away,W,1.0,0.0,Salernitana,2.4,0.6,49.0,26006.0,Lorenzo Pellegrini,3-4-3,Simone Sozza,Match Report,,20.0,4.0,14.7,2.0,0.0,0.0,2023,Roma
1,2022-08-22,18:30,Serie A,Matchweek 2,Mon,Home,W,1.0,0.0,Cremonese,2.7,0.7,49.0,60859.0,Lorenzo Pellegrini,3-4-3,Luca Massimi,Match Report,,27.0,11.0,16.4,0.0,0.0,0.0,2023,Roma
2,2022-08-27,18:30,Serie A,Matchweek 3,Sat,Away,D,1.0,1.0,Juventus,1.3,0.6,43.0,41003.0,Lorenzo Pellegrini,3-4-3,Massimiliano Irrati,Match Report,,8.0,4.0,14.9,0.0,0.0,0.0,2023,Roma
3,2022-08-30,20:45,Serie A,Matchweek 4,Tue,Home,W,3.0,0.0,Monza,1.8,0.9,40.0,60669.0,Lorenzo Pellegrini,3-4-3,Marco Piccinini,Match Report,,15.0,8.0,14.5,0.0,0.0,0.0,2023,Roma
4,2022-09-04,20:45,Serie A,Matchweek 5,Sun,Away,L,0.0,4.0,Udinese,0.8,1.2,57.0,24108.0,Lorenzo Pellegrini,3-4-3,Fabio Maresca,Match Report,,12.0,2.0,13.4,0.0,0.0,0.0,2023,Roma
6,2022-09-12,20:45,Serie A,Matchweek 6,Mon,Away,W,2.0,1.0,Empoli,3.0,1.1,48.0,4560.0,Lorenzo Pellegrini,3-4-3,Livio Marinelli,Match Report,,12.0,6.0,14.2,0.0,0.0,1.0,2023,Roma
8,2022-09-18,18:00,Serie A,Matchweek 7,Sun,Home,L,0.0,1.0,Atalanta,2.4,0.2,56.0,61335.0,Lorenzo Pellegrini,3-4-3,Daniele Chiffi,Match Report,,21.0,5.0,17.7,0.0,0.0,0.0,2023,Roma
9,2022-10-01,18:00,Serie A,Matchweek 8,Sat,Away,W,2.0,1.0,Inter,1.0,1.0,42.0,75389.0,Lorenzo Pellegrini,3-4-3,Davide Massa,Match Report,,10.0,3.0,19.8,1.0,0.0,0.0,2023,Roma
11,2022-10-09,20:45,Serie A,Matchweek 9,Sun,Home,W,2.0,1.0,Lecce,3.2,0.3,66.0,64018.0,Lorenzo Pellegrini,3-4-3,Alessandro Prontera,Match Report,,19.0,5.0,16.5,0.0,1.0,1.0,2023,Roma
13,2022-10-17,18:30,Serie A,Matchweek 10,Mon,Away,W,1.0,0.0,Sampdoria,1.8,0.2,41.0,20803.0,Lorenzo Pellegrini,3-4-1-2,Marco Di Bello,Match Report,,6.0,3.0,15.1,0.0,1.0,1.0,2023,Roma
14,2022-10-23,20:45,Serie A,Matchweek 11,Sun,Home,L,0.0,1.0,Napoli,0.3,0.9,40.0,61633.0,Lorenzo Pellegrini,3-5-2,Massimiliano Irrati,Match Report,,6.0,0.0,21.4,0.0,0.0,0.0,2023,Roma
